file,orgText,whisperxOut,WER
achtgesichterambiwasse/achtgesichterambiwasse_0000.wav,hanake hatte allen körperschmuck den ein japanisches mädchen sitzend trippelnd und liegend zeigen muss," Hanake hatte allen Körperschmuck, den ein japanisches Mädchen sitzend, drippelnd und liegend zeigen muss,",
achtgesichterambiwasse/achtgesichterambiwasse_0001.wav,um zu den göttlichen schönheiten der vergänglichkeit gezählt zu werden ihr hals war biegsam wie eine reiherfeder," um zu den göttlichen Schönheiten der Vergänglichkeit gezählt zu werden. Ihr Hals war biegsam wie eine Reiherfeder,",
achtgesichterambiwasse/achtgesichterambiwasse_0002.wav,ihre arme kurz wie die flügel eines noch nicht flüggen sperlings sass sie auf der matte und bereitete ihren tee," Ihre Arme kurz wie die Flügel eines noch nicht flückensperrlings, saß sie auf der Matte und bereitete ihren Tee,",
achtgesichterambiwasse/achtgesichterambiwasse_0003.wav,so arbeitete sie vorsichtig wie unter einer glasglocke ging sie abends mit ihrer dienerin auf den hohen holzschuhen zum theater," so arbeitete sie vorsichtig wie unter einer Glasklocke. Ging sie abends mit ihrer Dienerin auf den hohen Holzschuhen zum Theater,",
achtgesichterambiwasse/achtgesichterambiwasse_0004.wav,so war sie unauffällig als hätte sich ihr körper mit der sonne zur ruhe gelegt," So war sie unauffällig, als hätte sich ihr Körper mit der Sonne zur Ruhe gelegt,",
achtgesichterambiwasse/achtgesichterambiwasse_0005.wav,und als ginge nur ihr schatten mit der dienerin und der papierlaterne den weg zu den schatten, und als ginge nur ihr Schatten mit der Dienerin und der Papierlaterne den Weg zu den Schatten.,
achtgesichterambiwasse/achtgesichterambiwasse_0006.wav,lag sie in der nacht hinter den geschlossenen papierwänden ihres hauses mit frisiertem kopf auf der schlummerrolle," lag sie in der Nacht hinter den geschlossenen Papierwänden ihres Hauses mit frisiertem Kopf auf der Schlummerrolle,",
achtgesichterambiwasse/achtgesichterambiwasse_0007.wav,und zog mit den fingerspitzen den seidenen schlafsack ans kinn so war ihr feines vom mond beschienenes gesicht vornehm," und zog mit den Fingerspitzen den seidenen Schlafsack ans Kinn, so war ihr feines, vom Mond beschienenes Gesicht vornehmen.",
achtgesichterambiwasse/achtgesichterambiwasse_0008.wav,als wäre es aus jadestein geschnitten und erschien unzerbrechlich und unvergänglich, als wäre es aus Jaderstein geschnitten und erschien unzerbrechlich und unvergänglich.,
achtgesichterambiwasse/achtgesichterambiwasse_0009.wav,hanake war das reichste mädchen am biwasee nicht bloss reich an der äusseren schönheit welche die frauen ruhig und wunschlos macht ," Hanake war das reichste Mädchen am Biversee. Nicht bloß reich an der äußeren Schönheit, welche die Frauen ruhig und wunschlos macht,",
achtgesichterambiwasse/achtgesichterambiwasse_0010.wav,auch reich an besitz die götter der vergänglichkeit hatten sie mit ihren glänzendsten geschenken," auch reich an Besitz. Die Götter der Vergänglichkeit hatten sie mit ihren glänzendsten Geschenken,",
achtgesichterambiwasse/achtgesichterambiwasse_0011.wav,mit schönheit und geld verwöhnt aber auch die göttin der unendlichkeit hatte ihr eine seele in die augen gegeben," mit Schönheit und Geld verwöhnt, aber auch die Göttin der Unendlichkeit hatte ihr eine Seele in die Augen gelegt,",
achtgesichterambiwasse/achtgesichterambiwasse_0012.wav,so dass ihre augen weinen konnten denn die wollust der träne ist das höchste geschenk dieser göttin," sodass ihre Augen weinen konnten, denn die Wollust der Träne ist das höchste Geschenk dieser Göttin.",
achtgesichterambiwasse/achtgesichterambiwasse_0013.wav,lange ehe der krieg japans mit russland begann hörte hanake in ihrem hause am biwasee von freunden und freundinnen," Lange ehe der Krieg Japans mit Russland begann, hörte Hanake in ihrem Hause am Biwa-See von Freunden und Freundinnen,",
achtgesichterambiwasse/achtgesichterambiwasse_0014.wav,die im sommer über die berge von kioto zum besuch zu ihr an den see kamen," die im Sommer über die Berge von Kyoto zum Besuch zu ihr an den See kamen,",
achtgesichterambiwasse/achtgesichterambiwasse_0015.wav,dass die fremden vom westen wie böse heuschreckenschwärme in japan erwartet würden um die männer zu töten die frauen zu verschleppen," dass die Fremden vom Westen wie böse Heuschreckenschwärme in Japan erwartet würden, um die Männer zu töten, die Frauen zu verschleppen,",
achtgesichterambiwasse/achtgesichterambiwasse_0016.wav,und sich in das land zu teilen auf dem biwasee würde man dann bald schiffe sehen die rauch ausstiessen," und sich in das Land zu teilen. Auf dem Biversee würde man dann bald Schiffe säen, die Rauch ausstießen,",
achtgesichterambiwasse/achtgesichterambiwasse_0017.wav,und die seetiefe mit schrauben aufwühlten, und die Seetiefe mit Schrauben auffüllten.,
achtgesichterambiwasse/achtgesichterambiwasse_0018.wav,auf eisen würden bald eisenwagen rasselnd wie gewitterwolken täglich durch japan eilen," Auf Eisen würden bald Eisenwagen, rasselnd wie Gewitterwolken, täglich durch Japan eilen.",
achtgesichterambiwasse/achtgesichterambiwasse_0019.wav,diese wagen würden die fremden in massen nach kioto und an die ufer des biwasees bringen, Diese Wagen würden die Fremden in Massen nach Kyoto und an die Ufer des Biversees bringen.,
achtgesichterambiwasse/achtgesichterambiwasse_0020.wav,die leichten vogelkäfige der bambushäuser würden verschwinden und steinhäuser wie man sie im westen der erde baut," Die leichten Vogelkäfige der Bambushäuser würden verschwinden, und Steinhäuser, wie man sie im Westen der Erde baut,",
achtgesichterambiwasse/achtgesichterambiwasse_0021.wav,würden zum himmel wachsen und überall würde dann rauch und eisenlärm sein denn, Würden zum Himmel wachsen und überall würde dann Rauch und Eisenlärm sein.,
